ID;KOD;NAZIV; CENA 
1;HM1;Endoclip II ml 10MMAPPLI /176657;13710
2;HM2;HAR36 Harmonic ACE 36cm;99120
3;HM3;Konac Ethilon 2-0 bx24 W1626T;565
4;HM4;Konac hiruški LAN No100;6242
5;HM5;Laparoskopske makaze Grasper C4130;9840
6;HM6;Ligasure impact LF4418;88800
7;HM7;Ligature Clip Small 30 PL565T žuta;840
8;HM8;Ligatura Clips M/L 20 PL568T zelena;1380
9;HM9;Ligature Clip Medium 30 PL567T plava;930
10;HM10;Ligature Clip Large 20 PL561T narandžasta ;1345
11;HM11;Maxon 3-0GRN V-20 6233-41;350
12;HM12;Maxon 4-0GRN CV-23;325
13;HM13;Prolene 2-0 90cm bx12 W8843;965
14;HM14;Prolene 3-0, 90cm a36 W8522H;450
15;HM15;Prolene 4-0 90cm bx12 W8355;960
16;HM16;Prolene 5-0 75cm a36 EH7477H;470
17;HM17;Prolene 6-0 a36 W8706H;525
