ID;KOD;NAZIV; CENA 
1;L1;Bedoxin amp.50x50 mg/2ml;25
2;L2;Bensedin 10mg/2ml 10x2ml;32
3;L3;Beviplex amp.5x(40+4mg+10mg+8mg);132
4;L4;Buscopan amp.6x20mg/ml;37
5;L5;Diklofen amp.5x75 mg/3 ml dz;25
6;L6;Fraxiparine amp.10x2850ij. 0.3 ml;285
7;L7;Fraxiparine amp.10x5700ij. 0.6 ml;412
8;L8;Gentamicin amp.10x80mg/2ml dz;40
9;L9;Gentamicin amp.10x120mg/2ml dz;65
10;L10;Glukoza 5% rastvor a 500 ml dz;72
11;L11;Hartmanov rastvor a 500ml;85
12;L12;Heparin inj 5x5000ij/1ml;120
13;L13;Humani Albumin 5% 1x250ml;7145
14;L14;Humani Albumin20% 1x50ml;5680
15;L15;Lorazepam, tbl. 20x2,5 mg.;10
16;L16;Manitol sol. 20% a 250 ml;355
17;L17;Novalgetol amp.50x2,5g/5ml;40
18;L18;Rastvor fiziološki 500ml HF;80
19;L19;Ringerov rastvor inf. 500ml dz;90
20;L20;Vitamin C amp.50x500mg/5ml;45
