ID;KOD;NAZIV; CENA 
1;UM1;Articuleze 12/14 Metal Head 32mm 136524000;26400
2;UM2;EEA 25mm sgl use stapler;49870
3;UM3;Kortikalni zavrtanj 3.5x14-26mm;572
4;UM4;Koštani cement Biomet sa dodatkom antibiotik, ZB-300394;6995
5;UM5;M/L Femoral stem taper standard P00015 ;103950
6;UM6;Maleolarni zavrtanj 3.5x45-55mm;748
7;UM7;Parietene Macroporous Mesh PPM1510;3500
8;UM8;Pinn Sector Acet Cup 50mm 121722050;38500
9;UM9;Pulsavac-pištolj za ispiranje rana I-00067;11016
10;UM10;Surgicel fibrillar 2,5x5cm a10 411961;5643
11;UM11;Surgicel 5x7.5cm a12 1903EE ;1540
12;UM12;Surgicel 10x20cm a12 1902EE;2780
13;UM13;UMM3 Ultrapro Mesh UND/BLU 15x15 cm;17500
